Material,Hardness,Density,Temperature,Load,Speed,WearRate,FrictionCoefficient
Steel,65.5,7.72,690,133,269,0.7171,1.0
Brass,46.03,8.66,181,49,701,0.209,0.8524
Aluminum,53.07,2.66,31,161,883,0.2051,1.0
Ceramic,99.44,3.98,154,52,899,0.0935,0.4083
Bronze,65.66,8.88,478,107,427,0.318,1.0
CastIron,87.24,7.3,113,142,996,0.0524,1.0
PTFE,7.21,2.25,405,71,695,0.8931,1.0
Brass,55.45,8.58,706,128,697,0.4038,1.0
Aluminum,41.51,2.78,397,193,516,0.5788,1.0
Brass,46.55,8.32,142,5,294,0.0377,0.3728
Tungsten,94.65,19.35,201,113,644,0.0707,0.9867
PTFE,8.5,2.17,28,97,841,0.1829,1.0
Inconel,87.05,8.44,544,75,900,0.1506,0.6911
Aluminum,49.54,2.61,192,27,517,0.2124,0.6429
Aluminum,44.51,2.66,739,171,122,3.0177,1.0
Aluminum,57.47,2.69,389,89,351,0.2685,1.0
Copper,37.64,8.91,197,104,453,0.3004,1.0
Copper,38.01,8.89,367,7,236,0.1693,0.249
Tungsten,96.97,19.36,372,200,938,0.1663,1.0
CastIron,88.22,7.16,42,192,273,0.2321,1.0
Graphite,24.71,1.87,614,83,312,0.8773,1.0
Bronze,66.56,8.72,613,144,718,0.2507,1.0
CastIron,74.07,7.19,368,163,747,0.2058,1.0
Magnesium,32.89,1.73,679,192,348,1.5638,1.0
Inconel,96.74,8.31,296,100,953,0.2218,0.8053
Aluminum,40.61,2.76,752,69,202,0.9522,1.0
Steel,69.03,7.82,38,189,657,0.1018,1.0
Copper,48.92,8.82,313,189,981,0.2065,1.0
Steel,82.04,7.77,329,142,621,0.278,1.0
CastIron,83.68,7.22,760,7,933,0.1824,0.2689
Magnesium,38.35,1.6,504,71,949,0.2858,1.0
Steel,74.14,7.73,514,95,678,0.24,1.0
Inconel,81.06,8.12,35,13,529,0.1348,0.398
Inconel,94.36,8.11,644,95,222,0.5575,0.7725
Brass,56.77,8.63,315,127,896,0.221,1.0
Steel,71.4,7.86,251,51,872,0.0423,0.757
PTFE,14.87,2.26,89,45,219,0.1739,1.0
Nickel,68.89,8.76,455,150,577,0.2583,1.0
Zinc,33.96,7.15,613,71,766,0.3599,1.0
PTFE,13.09,2.27,418,42,677,0.4023,1.0
Brass,54.73,8.48,523,155,71,2.7668,1.0
Aluminum,42.45,2.66,669,109,503,0.5288,1.0
Tungsten,97.3,19.34,668,92,104,0.8233,0.8829
Bronze,71.65,8.68,419,87,508,0.2783,0.9509
Bronze,70.36,8.74,531,29,975,0.0646,0.3501
Ceramic,94.48,3.86,438,24,471,0.1503,0.2981
Graphite,23.39,2.13,470,16,90,0.4779,0.5487
Magnesium,34.66,1.77,663,46,450,0.3945,0.9505
Tungsten,96.74,19.34,667,38,940,0.1866,0.5775
Tungsten,92.57,19.29,544,151,925,0.1666,1.0
CastIron,78.77,7.37,689,143,527,0.386,1.0
Graphite,22.35,1.89,775,148,566,1.3108,1.0
Nickel,70.76,8.76,761,169,998,0.3562,1.0
PTFE,6.08,2.22,176,105,863,0.5347,1.0
Inconel,94.48,8.13,781,97,182,0.6269,0.7827
Ceramic,87.3,3.61,183,180,299,0.305,1.0
PTFE,10.3,2.15,174,51,812,0.2123,1.0
Titanium,79.99,4.59,26,41,736,0.1462,0.6141
Bronze,62.43,8.64,323,100,479,0.1528,1.0
Aluminum,48.61,2.67,79,108,214,0.1207,1.0
Zinc,33.31,7.16,549,138,203,1.5347,1.0
PTFE,14.8,2.19,324,5,719,0.0346,0.3961
PTFE,12.32,2.17,772,37,836,0.4581,1.0
Copper,46.65,8.87,748,131,618,0.619,1.0
Inconel,93.36,8.19,423,17,315,0.2277,0.3354
Tungsten,90.53,19.03,248,133,188,0.3587,1.0
Aluminum,43.1,2.79,768,19,872,0.1789,0.5562
Zinc,36.38,7.03,771,126,161,2.2381,1.0
Nickel,77.17,8.74,494,153,370,0.4376,1.0
Nickel,68.87,8.81,633,115,731,0.1913,1.0
Tungsten,94.33,19.23,691,160,798,0.2854,1.0
Brass,58.88,8.35,218,186,634,0.2326,1.0
Tungsten,91.23,19.04,405,172,673,0.2392,1.0
PTFE,14.74,2.28,693,62,521,0.8235,1.0
Inconel,93.94,8.45,111,189,332,0.1643,1.0
Inconel,80.28,8.21,768,142,218,0.8577,1.0
Aluminum,53.1,2.78,461,146,638,0.3482,1.0
Copper,43.06,8.97,652,71,385,0.5219,1.0
Steel,76.01,7.71,734,166,954,0.3527,1.0
Bronze,74.19,8.85,119,75,942,0.1699,0.9361
Aluminum,50.27,2.74,598,166,446,0.5742,1.0
Bronze,71.88,8.83,210,54,682,0.2151,0.7379
Nickel,78.82,8.86,138,102,543,0.2256,1.0
Inconel,95.93,8.11,467,70,171,0.4035,0.5554
Inconel,90.57,8.15,213,190,135,0.4918,1.0
Inconel,90.11,8.25,68,186,981,0.0595,1.0
Nickel,72.56,8.89,43,13,646,0.0252,0.4014
Zinc,27.8,7.05,757,133,100,4.6278,1.0
Magnesium,34.45,1.8,92,132,902,0.1109,1.0
Ceramic,99.86,3.79,300,7,78,0.2043,0.2633
Tungsten,99.04,19.04,767,177,706,0.2542,1.0
Tungsten,95.81,19.09,500,155,481,0.3175,1.0
PTFE,9.55,2.3,535,49,132,2.6702,1.0
Zinc,25.49,7.13,561,131,218,1.8029,1.0
Nickel,64.39,8.87,434,116,825,0.1532,1.0
Aluminum,40.4,2.66,402,118,295,0.625,1.0
Titanium,88.11,4.45,345,5,472,0.1732,0.2715
Steel,77.26,7.76,370,185,196,0.5967,1.0
Brass,53.97,8.56,748,55,990,0.2199,0.8381
Titanium,88.22,4.6,649,162,545,0.2873,1.0
Tungsten,98.15,19.38,81,40,117,0.2095,0.4262
Graphite,18.4,1.87,613,195,354,2.4154,1.0
PTFE,8.38,2.28,514,56,801,0.5712,1.0
Ceramic,95.59,3.75,626,89,883,0.1081,0.6921
Nickel,79.65,8.78,735,147,120,1.57,1.0
Steel,76.73,7.86,789,146,594,0.3876,1.0
Nickel,69.18,8.74,743,37,630,0.2777,0.6466
PTFE,13.73,2.12,478,52,537,0.5265,1.0
Aluminum,48.58,2.64,468,157,888,0.2654,1.0
Zinc,28.78,7.07,598,151,741,0.6482,1.0
CastIron,76.37,7.4,496,110,800,0.2611,1.0
Inconel,80.18,8.18,147,175,460,0.2506,1.0
Copper,35.26,8.8,783,109,975,0.382,1.0
Ceramic,97.31,3.84,327,139,812,0.1881,1.0
PTFE,6.33,2.26,348,137,651,1.4778,1.0
Tungsten,92.16,19.0,436,146,871,0.1596,1.0
Titanium,78.66,4.6,539,149,981,0.2647,1.0
Brass,62.81,8.57,248,152,752,0.1254,1.0
Nickel,67.97,8.82,180,114,928,0.1439,1.0
Magnesium,33.27,1.8,160,36,106,0.2237,0.9536
Tungsten,99.67,19.25,138,155,177,0.2961,1.0
Inconel,84.21,8.19,113,114,569,0.0648,1.0
Magnesium,40.84,1.72,532,80,77,1.7425,1.0
Copper,36.29,8.87,380,132,401,0.5839,1.0
Magnesium,38.09,1.81,644,157,949,0.5222,1.0
Graphite,22.27,2.11,371,175,341,1.2416,1.0
Inconel,94.23,8.17,779,41,639,0.2278,0.5349
Titanium,78.33,4.4,592,141,108,1.4198,1.0
PTFE,12.87,2.23,169,167,752,0.4755,1.0
CastIron,87.45,7.06,283,31,81,0.2513,0.3346
Magnesium,34.54,1.61,416,20,440,0.1179,0.6866
Graphite,14.83,2.05,668,61,129,2.7221,1.0
Nickel,76.69,8.84,575,138,163,0.8553,1.0
Steel,75.94,7.79,35,134,857,0.0498,1.0
Bronze,72.64,8.63,704,173,373,0.6269,1.0
Tungsten,95.04,19.23,92,133,933,0.1163,1.0
Steel,65.38,7.86,704,63,785,0.178,0.927
PTFE,14.17,2.26,469,158,633,1.1397,1.0
Aluminum,51.29,2.69,751,71,764,0.1871,1.0
Nickel,71.74,8.76,642,136,986,0.3443,1.0
